Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
abase,uh-BAYS,v.,lower; degrade; humiliate,Anna refused to abase herself before the King of Siam.,"demean, humble","exalt, dignify","Old French abaissier, 'to lower'"
abash,uh-BASH,v.,embarrass,He was not at all abashed by her open admiration.,"embarrass, disconcert",embolden,"Old French esbahir, 'to astonish'"
abate,uh-BAYT,v.,subside or moderate,"Rather than leaving immediately, they waited for the storm to abate.","subside, diminish","intensify, escalate","Old French abatre, 'to beat down'"
abbreviate,uh-BREE-vee-ayt,v.,shorten,"Because we were running out of time, the lecturer had to abbreviate her speech.","shorten, condense","lengthen, expand","Latin brevis, 'short'"
abdicate,AB-dih-kayt,v.,renounce; give up,"When Edward VII abdicated the British throne, he surprised everyone.","renounce, relinquish","assume, claim","Latin abdicare, 'to disown'"
aberrant,uh-BEHR-uhnt,adj.,abnormal or deviant,"Given the aberrant nature of the data, we doubted the experiment.","deviant, anomalous","normal, typical","Latin aberrare, 'to wander away'"
aberration,ab-uh-RAY-shuhn,n.,deviation from the expected or normal; mental irregularity,Survivors exhibit aberrations of behavior because of trauma.,"anomaly, deviation","norm, conformity","Latin aberrare, 'to wander away'"
abet,uh-BET,v.,"assist, usually in something wrong; encourage",She was unwilling to abet him in the swindle he had planned.,"aid, encourage","discourage, hinder","Old French abeter, 'to bait, incite'"
abeyance,uh-BAY-uhns,n.,suspended action,The deal was held in abeyance until her arrival.,"suspension, dormancy","activity, continuation","Anglo-French abeance, 'gaping after'"
abhor,ab-HOR,v.,detest; hate,She abhorred all forms of bigotry.,"detest, loathe","adore, cherish","Latin abhorrere, 'to shrink from'"
abject,AB-jekt,adj.,wretched; lacking pride,The homeless live in abject poverty.,"wretched, miserable","admirable, noble","Latin abjectus, 'thrown down'"
abjure,ab-JOOR,v.,renounce upon oath,He abjured his allegiance to the king.,"renounce, recant","affirm, embrace","Latin abjurare, 'to deny under oath'"
ablution,uh-BLOO-shuhn,n.,washing,His daily ablutions were accompanied by loud noises.,"cleansing, washing","soiling, defiling","Latin abluere, 'to wash away'"
abnegation,ab-nih-GAY-shuhn,n.,renunciation; self-sacrifice,Their act of abnegation was necessary to preserve the kingdom.,"self-denial, renunciation",self-indulgence,"Latin abnegare, 'to refuse'"
abolish,uh-BOL-ish,v.,cancel; put an end to,The president refused to abolish the physical education requirement.,"eliminate, eradicate","establish, institute","Latin abolere, 'to destroy'"
abominable,uh-BOM-uh-nuh-buhl,adj.,detestable; extremely unpleasant,She called him an abominable young man.,"detestable, vile","admirable, delightful","Latin ab omine, 'away from omen'"
abominate,uh-BOM-uh-nayt,v.,loathe; hate,Moses scolded the idol worshippers because he abominated the custom.,"loathe, detest","adore, relish","Latin abominari, 'to deprecate as ominous'"
aboriginal,ab-uh-RIJ-uh-nuhl,adj./n.,being first of its kind; native,Her studies of aboriginal art forms were widely reported.,"indigenous, native","foreign, immigrant","Latin ab origine, 'from the origin'"
abortive,uh-BOR-tiv,adj.,unsuccessful; fruitless,The students had to abandon their abortive attempt to democratize Beijing.,"unsuccessful, futile","successful, fruitful","Latin abortus, 'miscarriage'"
abrasive,uh-BRAY-siv,adj.,rubbing away; tending to grind down,Abrasive remarks can wear away a listener's patience.,"caustic, harsh","soothing, gentle","Latin abradere, 'to scrape off'"
abridge,uh-BRIJ,v.,condense or shorten,The publishers proceeded to abridge the novel.,"condense, shorten","expand, lengthen","Old French abregier, 'to shorten'"
abrogate,AB-ruh-gayt,v.,abolish,The king intended to abrogate the decree.,"annul, repeal","enact, establish","Latin abrogare, 'to repeal'"
abscission,ab-SIZH-uhn,n.,cutting off; separation,"When a flower separates naturally, this process is called abscission.","severance, removal","attachment, union","Latin abscindere, 'to cut off'"
abscond,ab-SKOND,v.,depart secretly and hide,The teller who absconded with the bonds was eventually recognized.,"flee, decamp","remain, stay","Latin abscondere, 'to hide'"
absolute,AB-suh-loot,adj.,complete; totally unlimited; certain,The King of Siam was an absolute monarch.,"total, unconditional","limited, qualified","Latin absolutus, 'free, unrestricted'"
absolve,ab-ZOLV,v.,pardon an offense,The father confessor absolved him of his sins.,"exonerate, acquit","condemn, blame","Latin absolvere, 'to set free'"
abstain,ab-STAYN,v.,refrain; withhold from participation,He decided to abstain from drinking while he trained.,"refrain, forgo","indulge, partake","Latin abstinere, 'to hold back'"
abstemious,ab-STEE-mee-uhs,adj.,sparing in eating and drinking; temperate,The worried mother pressed food on her abstemious son.,"temperate, moderate","gluttonous, self-indulgent","Latin abstemius, 'refraining from drink'"
abstinence,AB-stuh-nuhns,n.,restraint from eating or drinking,The doctor recommended total abstinence from salted foods.,"restraint, self-denial","indulgence, excess","Latin abstinentia, 'self-restraint'"
abstract,AB-strakt,adj.,theoretical; not concrete,"To him, hunger was an abstract concept.","theoretical, conceptual","concrete, tangible","Latin abstractus, 'drawn away'"
abstruse,ab-STROOS,adj.,obscure; difficult to understand,Dave asked Lexy to explain Kant's abstruse text.,"obscure, esoteric","clear, simple","Latin abstrudere, 'to conceal'"
abusive,uh-BYOO-siv,adj.,coarsely insulting; physically harmful,An abusive parent damages a child both mentally and physically.,"insulting, harmful","kind, gentle","Latin abusus, 'misuse'"
abut,uh-BUT,v.,border upon; adjoin,"Where our estates abut, we must build a fence.","adjoin, border","separate, detach","Old French boter, 'to thrust'"
abysmal,uh-BIZ-muhl,adj.,bottomless,His arrogance is exceeded only by his abysmal ignorance.,"bottomless, profound","shallow, limited","Greek abyssos, 'bottomless'"
abyss,uh-BIS,n.,enormous chasm; vast bottomless pit,Darth Vader hurled the emperor into the abyss.,"chasm, void",-,"Greek abyssos, 'bottomless'"
academic,ak-uh-DEM-ik,adj.,related to school; not practical,The dean's talk was only an academic discussion.,"scholarly, theoretical","practical, applied","Greek Akademeia, Plato's school"
accede,ak-SEED,v.,agree,"If I accede to this demand, I fear future blackmail.","agree, consent","refuse, dissent","Latin accedere, 'to approach'"
accelerate,ak-SEL-uh-rayt,v.,move faster,We learn how falling bodies accelerate.,"hasten, speed up","decelerate, slow","Latin accelerare, 'to hasten'"
